skill_id:ID,skill_name,aliases[],:LABEL
8108,ux researcher designer,ux researcher designer,SKILL
8109,uiux,uiux,SKILL
8110,social. psychology,social psychology;social. psychology,SKILL
8111,environments3 years,environments3 years,SKILL
8112,roi modeling,roi modeling,SKILL
8113,bi analytics,bi analytics,SKILL
8114,managing,managing,SKILL
8115,sitecore or adobe experience manager,sitecore or adobe experience manager,SKILL
8116,cloudwatch,cloudwatch,SKILL
8117,development operations,development operations,SKILL
8118,autoscale,autoscale,SKILL
8119,sql server 2005 2008,sql server 2005 2008,SKILL
8120,knowledge of xhtml,knowledge of xhtml,SKILL
8121,dnn dotnetnuke,dnn dotnetnuke,SKILL
8122,net framework 20 35,net framework 20 35,SKILL
8123,xslt and ajax,xslt and ajax,SKILL
8124,search engine optimization,search engine optimization fundamentals;search engine optimization seo;the search engine optimization;search engine optimization,SKILL
8125,testing assets,testing assets,SKILL
8126,passing feedback,passing feedback,SKILL
8127,configuring it,configuring it,SKILL
8128,web services and rest,web services and rest,SKILL
8129,xunit,xunit,SKILL
8130,nuget,nuget,SKILL
8131,citrix vpn management,citrix vpn management,SKILL
8132,"konnect partners, inc.","konnect partners, inc.",SKILL
8133,strong unix /,strong unix /,SKILL
8134,pppi,pppi,SKILL
8135,qm,qm,SKILL
8136,wm  mrp mps,wm  mrp mps,SKILL
8137,scm 703,scm 703,SKILL
8138,business requirements specifications,business requirements specifications,SKILL
8139,bluetooth,bluetooth,SKILL
8140,good communication skils,good communication skils,SKILL
8141,algorithm development,algorithm development,SKILL
8142,infrastructure and application,infrastructure and application,SKILL
8143,securities,securities,SKILL
8144,bpm modeling,bpm modeling,SKILL
8145,client onboarding,client onboarding,SKILL
8146,satyam,satyam,SKILL
8147,it marketing executive / account manager/business,it marketing executive / account manager/business,SKILL
8148,infrastructure management,infrastructure management,SKILL
8149,j&j,j&j,SKILL
8150,perot systems,perot systems,SKILL
8151,washington mutual,washington mutual,SKILL
